22	MSc BSc Rafael REISENHOFER	University of Vienna	None	2018-10-15	2020-10-14	Depth and Discriminability in Deep Learning Architectures	Deep neural networks have recently provided astounding results in a wide range of classification and regression tasks. This has sparked a renewed interest in the rigorous mathematical analysis of deep neural network architectures with the goal of uncovering the underlying principles that facilitate their groundbreaking success. Recent fundamental results already provide a better understanding of the relationship between depth and expressive power as well as a detailed analysis of the approximation properties of deep neural networks. It was also shown that certain types of convolutional neural networks exhibit desirable invariance properties such as stability with respect to small deformations. The present proposal aims at a mathematical investigation of another important property of a deep learning architecture, namely its discriminatory behavior. In most classification tasks, different classes are intertwined in a complex manner in the input space. In order to succeed, the realization of a deep neural network needs to disentangle those classes such that they can be separated in the corresponding feature space. Our goal is to better understand how the depth and other characteristics of a neural network influence its discriminatory power in the sense that they facilitate a clear separation of signal classes. Eventually, we aim to prove statements that quantify the discriminative power of a deep learning architecture with respect to distinct classes of signals as a function of depth and properties of the corresponding signals. The classification behavior of a neural network is mostly determined by its invariance properties on one side and its discriminatory properties on the other side. We will thus focus our investigation on a special class of convolutional neural networks, so-called scattering networks, for which substantial results regarding invariance and stability have already been established. We furthermore aim to utilize that when considering the modulus squared as a non-linearity, the output of each layer in a scattering network can be explicitly written as a cascade of autocorrelations in the frequency domain. In the initial phase of the project, we will investigate the discriminatory properties of scattering architectures with respect to simple template signal classes, such as signals that are sparse in the time or frequency domain. We then aim to extend our analysis to signal classes that resemble the structure of practical machine learning tasks in the sense that they are defined by shifts and time-frequency deformations of single prototype signals. Eventually, we aim to translate our theoretical findings into applicable guidelines regarding the optimal design of deep learning architectures for specific classification tasks. The research will primarily be conducted by the applicant (Rafael Reisenhofer) on a full-time basis. The work of the applicant will be supported by the invaluable expertise of the co-applicant (Philipp Grohs).	Austrian Science Fund FWF	None	156140.0 EUR
23	Assoz. Prof. Dr. Klaus SCHÖFFMANN	University of Klagenfurt	None	2018-10-01	2021-09-30	Relevance Detection of Ophthalmic Surgery Videos	In this project, we want to investigate fundamental research questions in the field of postoperative analysis of ophthalmic surgery videos (OSVs). More precisely, three research objectives are covered: (1) Classification of OSV segments - is it possible to improve upon the state-of-the-art in automatic content classification and content segmentation of OSVs, focusing on regular and irregular operation phases? (2) Relevance prediction and relevance-driven compression - how accurately can the relevance of OSV segments be determined automatically for educational, scientific, and documentary purposes (as medical experts would do), and what compression efficiency can be achieved for OSVs when considering relevance as an additional modality? (3) Analysis of common irregularities in OSVs for medical research - we address three quantitative medical research questions related to cataract surgeries, such as: is there a statistically significant difference in duration or complication rate between cataract surgeries showing intraoperative pupil reactions and those showing no such pupil reactions? We plan to perform these investigations using data acquisition, data modelling, video content analysis, statistical analysis, and state-of-the-art machine learning methods - such as content classifiers based on deep learning. The proposed methods will be evaluated on annotated video datasets ("ground truth") created by medical field experts during the project. Beyond developing novel methods for solving the abovementioned research problems, project results are expected to have innovative effects in the emerging interdisciplinary field of automatic video-based analysis of ophthalmic surgeries. In particular, research results of this project will enable efficient permanent video documentation of ophthalmic surgeries, allowing to create OSV datasets relevant for medical education, training, and research. Moreover, archives of relevant OSVs will enable novel postoperative analysis methods for medical research questions - such as causes for irregular operation phases, for example. The research project will be a cooperation between computer scientists of AAU Klagenfurt (conducted by Prof. Klaus Schöffmann, supported and advised by Dr. Mario Taschwer and Prof. Laszlo Böszörmenyi) and ophthalmic surgeons and researchers at Klinikum Klagenfurt (Dr. Doris Putzgruber-Adamitsch, Dr. Stephanie Sarny, Prof. Yosuf El-Shabrawi).	Austrian Science Fund FWF	None	379635.38 EUR
24	Professor Mark Gabbay	NHS Liverpool CCG	None	2019-10-01	2024-09-30	NIHR Applied Research Collaboration North West Coast	<p>The North West Coast region faces stark health inequalities. Average life expectancy can vary across Local Authority areas/wards by up to 12 years; for average <em>healthy</em> life expectancy this can be up to 27 years. Simultaneously, there are significant barriers to translating discoveries in academic health research into practice which improves lives (Cooksey, 2006). The Applied Research Collaboration North West Coast (ARC NWC) brings together health and social care providers, NHS commissioners, local authorities, universities, public advisers, the Innovation Agency (Academic Health Science Network) and more to address these problems. It will support the development, delivery and implementation of research into practice, enabling real and positive change for patients and the public, with an overarching focus on reducing health inequalities.</p> <p>We build on the CLAHRCNWC legacy, a successful collaborative programme of applied health research and implementation which has run from 2014. CLAHRCNWC has established infrastructure, connections and novel methodologies to address major challenges in this area. ARC will be an evolution of CLAHRCNWC, strengthened by some of CLAHRCNWC&rsquo;s key outputs, and with a broadened consortium including Primary and Social Care, and the third sector.</p> <p>&lsquo;Co-production&rsquo; is key to ARC NWC; projects will involve and in some cases be driven by partners and the public throughout the research life-cycle. This ensures research is relevant to local communities&rsquo; needs, practical, and shortens the delay between generating research findings and putting them into practice. Our established Neighbourhoods for Learning, a novel approach established by CLAHRCNWC for deep involvement of communities &ndash; will ensure co-production. Health Inequalities will remain a core focus of our work, aided by the CLAHRC-developed Health Inequalities Assessment Tool (HIAT) which integrates public involvement and assesses whether activities could potentially deliver a reduction in health inequalities.</p> <p>The partnership has jointly chosen three research themes reflecting local needs. These are: &lsquo;Person Centred Complex Care&rsquo;, &lsquo;Improving Population Health&rsquo; and &lsquo;Equitable Place-based Health and Care&rsquo;. ARC NWC&rsquo;s cross-cutting themes will provide expertise and guidance to support research theme activity: &lsquo;Care and Health Informatics&rsquo;, &lsquo;Methodological Innovation Development Adaptation and Support&rsquo; and &lsquo;Health and Care across the Life-course&rsquo;.&nbsp; NIHR&rsquo;s investment, combined with significant matched resources pledged by partners, will grow infrastructure to support a varied portfolio of projects across each theme to support our aims.</p> <p>ARC NWC&rsquo;s aims are:</p> <ul> <li>Engage and involve organisations which have a role in, or connection to, health and care service delivery, across social, primary, secondary care, public health and third sectors.</li> <li>Embed public involvement and health inequalities in all our work, from idea generation to implementing findings.</li> <li>Further develop partners&rsquo; and local communities&rsquo; research and implementation capacities and skills.</li> <li>Develop a portfolio of high quality applied research which responds to health inequalities.</li> <li>Support and evaluate implementation of research findings that address health priorities, to increase the sustainability and resilience of health and social care systems, locally and nationally.&nbsp;</li> <li>Shorten delays between research needs being identified, studied, and findings implemented.</li> <li>Ensure broader economic gains through increased research investment regionally.</li> <li>Collaborate with other ARCs and NIHR infrastructure to address national priorities.<br> &nbsp;</li> </ul> <p>&nbsp;</p>	National Institute for Health Research (Department of Health)	None	9000000.0 GBP
25	Ao. Prof. Dr. Roland KWITT	University of Salzburg	None	2019-08-01	2022-07-31	Deep Homological Learning	Topological data analysis (TDA), implemented via persistent homology, has gained considerable research interest over the past years, not least as it allows to capture topological (and geometrical) characteristics of data that are not easily extractable by existing methods. However, aside from using persistent homology as an exploratory tool for data analysis, its use as an additional data source for learning, or as a means to study learning problems, is still limited. The goal of this project, Deep Homological Learning, is to develop novel and theoretically well-founded approaches to bridge the gap between TDA, persistent homology in particular, and recent advances in learning with deep neural networks. This not only includes (1) leveraging information offered by persistent homology as an additional data source for learning, but also (2) to learn filtrations for persistent homology from data and (3) to use concepts from algebraic topology to study neural network architectures, their capacity and learning progress. Advances along these directions (1) will contribute to the theoretical foundation of learning with persistent homology and (2) will eventually lead to stronger guidelines for neural network design, informed by topological measures of dataset and network complexity. The principal investigator (PI) responsible for this project is Roland Kwitt (Department of Computer Science, University of Salzburg). Collaborations are planned with Marc Niethammer (UNC Chapel Hill), Ulrich Bauer (TU Munich) and Peter Bubenik (UF Gainesville).	Austrian Science Fund FWF	Stand-Alone Projects	238512.75 EUR
26	Dr Konrad Wagstyl	University of Cambridge	None	2019-08-05	2023-08-05	Deep Learning of Cerebral Cortex Microstructure	My research aims to bridge the gap between in vivo neuroimaging and underlying brain microstructure. MRI can inform us of shape or signal intensity changes in neurological and psychiatric diseases but has limited interpretability with respect to underlying neurobiological disturbances. Currently such specific measurement of neurobiology is only accessible through ex vivo histological techniques. I wish to further our understanding of how in vivo MRI reflects microstructure through three interrelated projects. 1) I will map the distribution of microstructural properties, including cytoarchitecture, myeloarchitecture and receptor-architecture to whole-brain reference atlases, thus representing these features in the space of brain scans. 2) I will create deep learning frameworks for analysing cerebral cortical structure. 3) I will use computational tools to link in vivo MRI cortical structure to its underlying microstructure in health and disease. I will use high-resolution and multi-modal structural MRI data to link interregional and interlaminar MRI differences to their underlying microstructural source. I will apply deep learning to a large cohort of patients with a form of surgically remediable epilepsy, focal cortical dysplasia, which is characterised by abnormal microstructure. This work aims to solve the clinical challenge of identifying subtle epileptogenic structural abnormalities from a patient’s presurgical MRI scan.	Wellcome Trust	Sir Henry Wellcome Postdoctoral Fellowship	300000.0 GBP
27	Ao. Prof. Dr. Andreas HOLZINGER	Medical University of Graz	None	2019-11-04	2022-11-03	A Reference Model of Explainable AI for the Medical Domain	Towards A Reference Model of Explainable AI for the Medical Domain Andreas Holzinger December, 27, 2018 The progress of statistical machine learning methods has made AI increasingly successful. Deep learning exceeds human performance even in the medical domain. However, their full potential is limited by the difficulty to generate the underlying explanatory structures. The central problem is that they are regarded as "black-boxes" and even if we understand the mathematical principles, they lack an explicit declarative knowledge representation. A motivation for this project are rising legal and privacy issues. This does not imply a ban on automatic learning approaches or an obligation to explain everything all the time, however, there must be a possibility to make results re-traceable on demand - understandable by a human domain expert. We learned of a variety of technical solutions which are currently in development, which could help explain AI/ML systems and their decisions. Transparent algorithms could appropriately enhance trust of medical professionals, thereby raising acceptance of machine learning. Recently, the Google AI team emphasized the significance of research in explainable AI, the importance of Human-Computer Interaction (HCI) research for Knowledge Discovery from Data (KDD), and the urgent need for a research framework around the field of interpretability. In our ongoing research collaboration "Machine learning for diagnosis of colorectal cancer" with the Google AI group and the Institute of Pathology (Ethics Vote Medical University Graz 30-184 ex17/18) a training data set for AI/ML in digital pathology has been generated. As agreed with our colleagues at the Google AI group, we have now the chance to use machine learning algorithms developed in this context for our test environment; in return we will research towards making their algorithms explainable for our domain experts, who have the benefits of using the results for their medical teaching. This project will focus on but is not limited to digital pathological data and context. The advantage of this project is working with real-world data (under full ethics/data protection regulations) together with medical experts. This project will provide important contributions to the international research community in the following ways: evidence in various methods of explainability and novel methods and urgently needed tools for benchmarking and evaluation; Moreover, the contributions gained in this project can be used generally for reverse-engineering human learning and cognitive development and specifically to engineer more human like machine learning systems. All outcomes of this project will be made openly available to the international research community.	Austrian Science Fund FWF	Stand-Alone Projects	392773.5 EUR
28	Dr Brown	University of Lincoln	None	2020-09-07	2023-09-06	Towards an open-source, equipment-agnostic framework for automated welfare monitoring in the home cage	The moral implications of using mice and other higher animals in biomedical research has been a topic of debate for many years, and has steered various efforts towards minimising animal suffering. As the number of mice used in biomedical research continues to rise, there is greater emphasis than ever on approaches to refine husbandry protocols and humane endpoints to ensure that welfare concerns are dealt with swiftly and efficiently. Home cage monitoring has been proposed as a means capturing animal behaviour through the light and dark phases so that welfare deficits might be captured without the need for human intervention. Several commercial and non-commercial systems have been designed to capture video footage (and other data) of mice that offer several advantages over conventional experimental designs: (1) behaviours can be captured in a familiar, enriched environment; (2) observations are not confounded by novel apparatus or human experimenters; (3) it serves as a permanent digital record; and (4) video data are amenable to automated image analysis techniques. The challenge that remains in the context of HCA is the ability to analyse video footage in a manner that is fully-automated, comprehensive, robust, and computationally efficient. Under this proposal, the successful studentship awardee will develop a solution to the problem of automated HCA based on deep learning; a state-of-the-art approach to computer vision problems that utilises computational models inspired by the human visual cortex. The technique will be based on the "anomaly detection", whereby a model is initially trained to capture the range of possible behaviours exhibited by mice under normal circumstances (i.e., without welfare deficits). The methods works by learning to produce a set of visual and motion features that describe the behaviours of the mice, and then having the same model attempt to "reconstruct" the input clip from the features. In doing so, the model is forced to capture only key information about normal behaviour. Given that video clips depicting welfare deficits are visually different normal behaviors by definition, the model will be less capable of representing those data. Dr James Brown will be the primary supervisor of this work, who has a strong record of interdisciplinary research involving mouse models. He has previously worked with the Mary Lyon Centre - a collaborator on this project - on development 3D image analysis techniques for mouse embryo phenotyping. He has recently published several high-impact articles on machine learning techniques for the diagnosis of retinal disease, and is currently seeking approval from the US Food & Drug Administration. Prof Xujiong Ye will co-supervise this project, bringing more than 20 years' experience in computer vision and medical image analysis in both industry and academia. The methods outlined in this proposal align well recent work published Prof Ye on the development of algorithms to track and assess the welfare of farmyard pigs from top-down video footage.	National Centre for the Replacement, Refinement and Reduction of Animals in Research	Studentship	90000.0 GBP
29	Professor Emily Jefferson	University of Dundee	Population Health and Genomics	2019-08-01	2024-07-31	MICA: InterdisciPlInary Collaboration for efficienT and effective Use of clinical images in big data health care RESearch: PICTURES	The core programme focuses on 3 key areas: (1) Complex cohort building from noisy, heterogeneous data: we will develop algorithms for text mining and standardising imaging metadata. We will use machine learning classification techniques to group images and natural language processing to pre-process and mine knowledge features from the free-text data and remove the identifiable data. We will utilise imaging processing algorithms to search for features within the core dataset to build new cohorts based upon pixel data. (2) Scaling and handling big data: we will develop algorithms and optimisation processes for handling petabytes of imaging data and investigate how to optimise the use of GPUs within a virtual environment. (3) Cybersecurity: we will ensure that our systems are secure but also meet the requirements of the research community. Exemplar 1: Using CT scans provisioned from the national resource, we will use Deep Learning to train an algorithm to detect lung nodules and coronary artery calcification. The algorithm will be implemented as a Medical Device and made available within NHS Clinical PACS reporting workstations for Clinical performance evaluation and validation. To determine the risk of lung cancer and cardiovascular events we will use the nationally available longitudinal health outcomes data linked to the results from the CT scans. Exemplar 2: To develop a risk score for dementia and an understanding of which data is most important for prediction, we will use voxel based feature selection and support vector machines within a cross-validation framework for MRI brain images. Non-imaging analyses will be primarily cross-sectional and longitudinal including time variable exposure clinical covariates as well as genomic covariates. Risk predictions using image, genetics and clinical data for individual patients will be combined using decision tree methods to create a best overall predictor. Algorithm validation will use the national resource.	Medical Research Council	Research Grant	2851878.0 GBP
30	Dr Simon Walsh	Imperial College of Science, Technology and Medicine	None	2019-02-01	2024-01-31	Fibrotic lung disease on high-resolution computed tomography: predicting disease behaviour using computer algorithms.	Background: Fibrotic lung disease represents a group of conditions characterised by scarring of the lung with fibrotic tissue and is a seriously under-recognised problem for the NHS. In 2016, 1% of all deaths in the UK were due to fibrotic lung disease. Idiopathic pulmonary fibrosis (IPF) is the most common fibrotic lung disease and has an inexorably progressive disease course regardless of treatment.Among the fibrotic lung diseases is a group of patients who, independent of their clinical diagnosis, develop progressive, relentless fibrosis which is unresponsive to treatment and has a 'malignant-like' prognosis, recently termed, 'the progressive fibrotic phenotype'. However, there is currently no way to predict from baseline data which patients will develop this phenotype which negatively impacts treatment decisions and increases patient exposure to risky investigations such surgical lung biopsy. Identifying how fibrotic lung disease will progress is the most significant challenge for effective patient management in these conditions.High-resolution computed tomography (HRCT) is central to diagnosis in fibrotic lung disease, and a pattern of usual interstitial pneumonia (UIP) on HRCT is associated with progressive fibrosis. However, the progressive fibrotic phenotype is not confined to this pattern, and other HRCT appearances (or radiologic phenotypes) with the same progressive disease course have not been defined. Deep learning (DL) is a subset of machine learning which has recently achieved impressive results in several medical image classification problems. DL can provide accurate, universally accessible algorithms for analysing HRCT data and predicting which patients will develop the progressive fibrotic phenotype based on their baseline HRCT. Aims: To develop DL algorithms to predict the development of the progressive fibrotic phenotype using baseline HRCT. To identify novel radiologic phenotypes associated with progressive and stable disease.Methods: A dataset of fibrotic lung disease-specific HRCTs together with linked clinical data will be generated from the ILD unit of the Royal Brompton Hospital. Data and an international repository called The Open Source Imaging Consortium. DL will be used to generate an algorithm which predicts, using HRCT, progressive fibrotic lung disease defined by all-cause mortality or >=10% forced vital capacity decline at 12 months from the date of the HRCT. Novel 'progressive fibrotic radiologic phenotypes' identified by the deep learning algorithm will also be investigated. Algorithm validation will be performed prospectively in two longitudinal fibrotic lung disease cohorts and a prospective trial of anti-fibrotic therapy. The clinical impact of the algorithm will be tested by incorporating it in a multicentre study of multidisciplinary team diagnosis and management in 100 cases of fibrotic lung disease involving expert and non-expert multidisciplinary team groups.Dissemination: The results of this research will be disseminated through peer-reviewed publication and academic congresses. Patient groups, including the Pulmonary Fibrosis Warriors (who were instrumental in the development of this proposal), will assist in raising public and patient awareness of this research and identifying further possible avenues of research. Impact: Improved disease behaviour prediction in fibrotic lung disease will reduce patient exposure to unnecessary, risky investigations and reduce healthcare provider cost associated with those investigations.	National Institute for Health Research (Department of Health)	Full Grant	1053348.0 GBP
31	Dr Kirsten Christensen-Jeffries	King's College London	Imaging & Biomedical Engineering	2019-11-01	2024-10-31	Development of 2D and 3D Ultrasound Super-Resolution (US-SR) Imaging for the Clinic	Non-invasive imaging of the microvasculature is crucial for the early detection and intervention of diseases such as cancer and other microvascular related diseases. This proposal addresses a crucial clinical challenge: the lack of a sensitive, safe, repeatable method for detecting, characterising and monitoring such diseases. Recently developed ultrasound super-resolution (US-SR) is able to resolve microvascular details far beyond the diffraction limit at depth (>10 cm) in vivo. To transfer this technology into society, clinical translation and 3D US-SR development is urgently needed. Aims:. This research is designed to provide advances in areas of maximal clinical relevance through systematically designed experiments, recent technological advances, and clinical guidance and support. The results will provide both validation, and a solid grounding in basic science for the fast developing field of US-SR. The core objectives are: 1)To develop novel advanced, acquisition strategies and real-time software using deep learning, advanced signal processing methods, and the activation of sparse contrast agent to provide improved detection accuracy, localisation rates, and automation. 2)To design, develop and test (in vitro and in vivo) the accuracy and clinical relevance of structural and functional parameters for disease characterisation. 3)To formalise clinical 2D US-SR and establish clinical acceptance. This involves the demonstration of the diagnostic power of US-SR parameters over large clinical datasets from existing studies. 4)To develop and implement clinical 3D US-SR with the aid of advances made in 1)-3), a healthy volunteer pilot study and existing patient studies. By making maximal use of planned or existing trials, I will avoid the need for significant additional human involvement. Throughout this translational project, methods will be evaluated by an extensive network of clinicians and researchers, allowing continuous feedback and ongoing knowledge	Medical Research Council	Fellowship	1077817.0 GBP
32	Dr Andrew Saxe	University of Oxford	None	2019-09-01	2024-08-31	Principles of Learning in Distributed Brain Networks	For biological organisms, practice improves performance on any given task. Ultimately these behavioral improvements must be traceable to some change in the neuronal networks of the brain. Crossing these scales—linking learning to its neural basis—is a critical challenge facing theories of brain function. What changes at the neural level enable these behavioral improvements at the psychological level? And what principles govern the dynamics of the learning process? The goal of this project is to use mathematical analyses to develop a fundamental understanding of learning dynamics in artificial deep neural networks; to exploit this understanding to make testable predictions for experiments in psychology and neuroscience; and to critically test these hypotheses through close collaboration with experimental groups. This theory-experiment loop will help identify computational principles governing learning in the brain and mind. The proposal focuses on the dynamics of learning in complexly interconnected networks of brain areas; in settings where new knowledge must be incorporated alongside old (continual learning); and where there are nonlinear interactions between inputs and context. This research will furnish a new analytical toolkit for studying learning in neural networks, enabling a better understanding of how experience structures neural representations, and improved algorithms for artificial systems.	Wellcome Trust	Sir Henry Dale Fellowship	771226.0 GBP
33	Dr Alastair Droop	University of Leeds	School of Medicine	2018-02-14	2019-04-07	Facilitating Deep Learning with Domain-Specific Knowledge	Although a good conceptual fit, current methods in deep learning do not perform particularly well on biological data. One reason for this is the paucity of samples: we simply do not have enough data to train a neural network of sufficient size or complexity to learn the intricacies of our input datasets. Although we have many fewer biological samples, we have a much richer understanding of the underlying structure of the observations, as we have extensive prior knowledge about the interactions between genes. I am planning to use this rich prior knowledge to enhance the efficiency of the training process in two ways: 1) Appropriate data embedding A common technique in ML is to transform the input data into a form that is easier for the neural network to train upon (embedding). For example, high-dimensional data could be reduced using PCA to a lower dimensional form before use, thus removing unnecessary noise before training. I propose to develop similar methods using the large body of expertise in transcriptomic data analysis in Leeds to define suitable embedding strategies for preprocessing the input datasets. 2) Biologically appropriate network topologies A standard neural network consists of several hidden layers of neurones connected (both inside and between layers) in a regular manner. I propose a similar approach to learning gene expression analysis in which we use the vast amount of prior knowledge available in online repositories (such as the Gene Ontology, KEGG and String) to build intermediate neural network layers that model the known biological pathways and interactions in the data. This way, the ML approach does not need to learn these already-known interactions.	Medical Research Council	Fellowship	286050.0 GBP
34	Dr Yang Long	Newcastle University	Sch of Computing	2018-02-14	2019-06-30	Intelligent Healthcare Systems for Large-scale Populations	The first stage focuses on proof-of-concept studies. After getting access to UK Biobank and NE 85+, the inital step is Data Preprocessing, i.e. integration of complex data, such as MRI, accelerometer, and electronic health records. My previous AI model for infant stroke detection can be employed to explore some preliminary experiments, e.g. associations between human activities and specific diseases. Following this, utilising a multi-modal learning framework, a comprehensive model will be proposed to study the correlations between different health data sources. For example, what MRI pattern can correspond to a disease and how would that relate to the accelerometer data for human activity. Furthermore, attribute learning techniques can provide health feedback, e.g. how to implement a habit that can significantly reduce the risk of a disease. Finally, the model will be upgraded into an inference model and link the predictions to attributes, in a manner that is intuitive to understand.To further improve the interpretations, high-level visualisation technology, e.g. tSNE, Confusion Matrix, will provide furhter guidance about rationales behind the AI model. During the second stage, proof-of-concept studies will continue to the end of the project. Meanwhile, I plan to implement stable models on apps and smart sensors to encourage more participants to take parts in data collection. For example, stable models can be packaged into apps that can utilise mobile phone-embedded accelerometers as an approximate measurement for data collection and large-scale cohort clinical study. The expected outcomes of the project will be a series of high-quality publications both in AI and health data science fields. In addition, continued grant proposals will be submitted for the continued study of large-scale health data collection using the delivered system.	Medical Research Council	Fellowship	193284.0 GBP
35	Dr Emmanouela Repapi	University of Oxford	Weatherall Inst of Molecular Medicine	2018-04-01	2022-10-28	Novel methods for the integration of high dimensional single cell proteomic and RNA data to understand cell populations in development and disease.	A methodology will be developed for the integration of single cell RNA-Sequencing (scRNA-Seq) and CyTOF data using novel machine learning techniques. I will be using an autoencoder, a technique that is widely used in machine learning, to extract the structure of data from populations of cells analysed with both technologies. In more detail, I will be using the python library TensorFlow, which is one of the most commonly used tools for deep learning, to analyse in parallel the scRNA-Seq and CyTOF data and use the data structure from each to disassociate cell heterogeneity from technical variability. In addition, this approach will ensure that the right normalization has been performed and will take into account batch effects arising from the different technologies, and potentially also from the experimental design. It is important to note that cell populations observed in one of the two technologies will also be reported separately to account for biological variation between transcriptomics and proteomics data. This approach is subsequently going to be used 1) to identify cell subpopulations and 2) to study cell fate in differentiation processes. The data will be acquired from collaborations in the WIMM and I will be working closely with the groups that have produced it to ensure accurate interpretation. Finally, I will be creating a visualisation tool to facilitate the interpretation of the results by both computational and bench scientists. I plan to use WebGL, which allows the use of 3D graphics in web pages with increased speed for data heavy applications. This approach will enable the visualisation of millions of cells. This will be implemented using python packages such as Plotly and Vispy, which can help create a WebGL application from python objects.	Medical Research Council	Fellowship	326906.0 GBP
36	Ms Esra Suel	Imperial College London	School of Public Health	2018-02-14	2021-02-13	Application of deep learning to heterogeneous open data for measuring urban environment and health	Recent advances in deep learning methods have achieved unprecedented improvements in accuracy on multiple visual tasks such as object recognition and classification. While previously unused large-scale data is gaining importance in public health research, recent technical developments mostly focused on advanced spatial machine learning and statistics methods while integration of deep learning techniques have been largely unexplored. The overall goal of my fellowship research is to leverage these advanced methods to answer important questions in environment and health research. Specifically, convolutional neural networks will be trained using satellite and street view imagery to extract outcomes of health and its environmental/social determinants. Transfer learning and class specific saliency maps will be used for post-hoc model visualisation. A combined analysis of models trained for multiple outcomes will be conducted to study overlaps and deviations. Secondly, joint use of mobile phone and image data as predictors will be explored for improving model performance. New methods of data integration will be developed to enable the use of multiple big data sources as predictors in a unified modelling framework. Finally, transferability of deep learning models trained on data from one city to other geographies will be evaluated; adaptation techniques to facilitate transferability will be explored.	Medical Research Council	Fellowship	331573.0 GBP
37	Mr Keith Smith	University of Edinburgh	Centre of Population Health Sciences	2018-02-14	2021-02-13	Developing network methodologies for disease classification	For objective (1) I will develop an integrated framework of complex networks and convolutional neural networks for health data which will build upon geometric deep learning [3], building established connections with Prof Pierre Vandergheynst of the École Polytechnique Fédérale de Lausanne (EPFL). Complex physiological networks will be derived from the multidimensional, complex datasets in the UK Biobank, which will then be utilised in this framework to gather important insights into health and disease and develop enhanced large-scale classification strategies. For objective (2) I will build on pilot work (unpublished) which applies novel complex network methods [4,5] to detect AD from task-related EEG signals. This will be extended for the following: (i) refinement and continued development of theoretical approaches to analyse functional connectivity (ii) adaptations for application to high spatial resolution fMRI and MRI data (iii) applied to resting-state fMRI in large datasets such as the Lothian Birth Cohort and UK Biobank (iv) employment of powerful classification and regression approaches such as support vector machines Such methods are also of great relevance to an array of different pathologies, including other forms of dementia, epilepsy, Parkinson's disease and schizophrenia, to which the strategy proposed will be generalised. This project is in alignment with HDR UK priorities, developing novel data analyses and classification strategies for key national health problems, establishing national leadership, developing international collaborations, and strengthening interdisciplinary skills. References: see Summary	Medical Research Council	Fellowship	276418.0 GBP
38	Dr Philipp Schneider	University of Southampton	None	2019-01-16	2022-01-16	Foundations for routine 3D X-ray histology	Whilst 3D medical imaging is commonplace, microscopic tissue structure analysis (i.e. histology) remains overwhelmingly wedded to ~200-year-old practices of microscopic 2D examination of tissue sections. Building on our first demonstrated assessment of 3D microstructural detail in standard wax-embedded soft tissue (Scott et al., 2015, http://dx.doi.org/10.1371/journal.pone.0126230) we will develop the foundations for routine 3D X-ray histology by: Providing: 1. Robust, non-destructive, high-throughput 3D microscopic imaging of routinely processed soft tissue samples at 5-10 µm resolution. 2. Access to orders of magnitude more tissue structure data per sample (cf. optical sections). 3. Tissue-level volumetric structure and connectivity insights (previously unavailable). 4. Correlative 3D data supplementing other routine or specialist imaging (e.g. immunostaining, laser microdissection). 5. Routes to novel medical and scientific discovery (Jones et al., 2016, http://dx.doi.org/10.1172/jci.insight.86375; Koo et al., 2018, in revision). Establishing: 6. Hardware approaches to increased sample throughput. 7. Standardised, automated workflows for image acquisition, calibration, CT reconstruction, data handling. 8. Long-term roadmap for emerging X-ray technology improvements targeted for biomedical applications. Raising awareness/driving uptake through: 9. Pilot studies (n~10 samples/study)/new applications validated by 2D histology and integrated with correlative imaging modalities. 10. Biomedical case studies (n~100) at high statistical power. 11. Data resources (n~100) for artificial intelligence and deep learning approaches in digital 3D histopathology.	Wellcome Trust	Technology Development Grant	1135071.0 GBP
39	Professor Sarah Barman	Kingston University	Faculty: Science Engineering & Computing	2018-11-15	2020-11-14	Classification of oral lesions using deep learning for early detection of oral cancer	About 300,000 individuals are diagnosed with oral cancer every year and the majority of these patients live in low- and middle-income countries. Up to 80% of oral cancers are preceded by early lesions called oral potentially malignant lesions (OPMD) and this presents an opportunity to identify and manage these lesions to reduce the chances of malignant transformation. However, due to the numerous types of lesions that present in the oral cavity, the identification of OPMD is not straightforward. Further, this is confounded by the limited number of trained oral medicine specialists in countries where the prevalence is at its highest. One way to overcome the lack of access to expertise for the clinical diagnosis of these lesions is to use deep learning approaches to develop an algorithm that could automatically classify images into different categories that require distinct clinical management. Such an approach has been successfully used for the classification of skin diseases. In this project, we will work within a multi-disciplinary team to use deep learning for the classification of oral lesions. In particular, we will employ two different deep learning architectures - VGG-16 and ResNet, pre-trained using ImageNet, and apply transfer learning to classify oral lesions. The outcome of this project will pave the way for further rigorous testing, development of an App incorporating this automated tool and clinical validation for the early detection of oral cancer. The development of an automated tool for the classification of oral lesions would facilitate the identification of patients most at risk of developing oral cancer so that these individuals can be managed appropriately.	Medical Research Council	Research Grant	146920.0 GBP
