402	Omar Farha	Northwestern University	None	2020-05-15	2021-04-30	RAPID: Regenerable Antiviral Nanoporous Materials for Protection	Mathematical and Physical Sciences - Non-Technical Abstract<br/><br/>With over 2 million positive cases and 160 thousand deaths as of mid-April 2020, global society is currently suffering physically, socially, economically, and politically because of the ongoing pandemic outbreak - Coronavirus Disease 2019 (COVID-19). The main pathway that the virus is spreading is through respiratory droplets produced when people sneeze or cough, which can then infect people nearby. Thus, the United States? Centers for Disease Control and Prevention (CDC) has recommended covering one?s face to help slow down the spread of the virus. The traditional face masks, however, can only act as a physical barrier, which means that the virus will stay active on the mask and can still be transmitted if touched while removing/wearing the mask. Therefore, developing face masks to deactivate the viral threats can efficiently stop/slow the spread of the highly infectious virus, COVID-19. With funding from the Solid State and Materials Chemistry Program in the Division of Materials Research of the Mathematical and Physical Sciences Directorate, this Rapid Response Research (RAPID) grant supports research that focuses on developing antiviral masks by chemically modifying the textile surfaces to deactivate the viral threats; this in turn reduces the risk of spreading the virus and generates reusable masks. The research serves the national interest and NSF?s mission by developing advanced technologies from hypothesis-driven scientific research to protect our nation?s physical, social, economic, and political health and welfare.<br/><br/>Technical Abstract<br/><br/>This Rapid Response Research (RAPID) grant supports research that employs nanoporous materials to modify textile fibers and generate antiviral facial masks with funding from the Solid State and Materials Chemistry Program in the Division of Materials Research of the Mathematical and Physical Sciences Directorate. The support enables a materials science approach that mitigates the negative impacts of COVID-19 on public health. Masks that not only protect the wearer but also deactivate the virus significantly reduce the spread of infectious viral threats such as COVID-19 since an active virus residing on a mask still possesses a great threat to the wearer and their environment. This research project investigates means to cover the surfaces of textile fibers with antiviral agents that are active towards viral threats; in this way, the viruses can be deactivated by disintegration upon contact and/or post-treatment while filtered air is allowed to pass through the mask safely. Specifically, the researchers employ the integration of metal?organic framework based antiviral composites on textiles-based facial masks and later on N95 or similar masks. The protective nano layer added on the masks enables the disintegration of the viral threats, which allows the reuse of masks due to reduction of cross contamination during removal and/or wearing of the masks. This RAPID project offers a solution to the severely urgent challenge of the shortage of effective antiviral protective materials while advancing physical and materials science and educating the general public on the research-driven solutions to global challenges.<br/><br/>This grant is being awarded using funds made available by the Coronavirus Aid, Relief, and Economic Security (CARES) Act supplemental funds allocated to MPS.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	200000.0	USD
403	Pedro Alvarez	William Marsh Rice University	None	2020-05-01	2021-04-30	RAPID: Molecular Imprinting of Coronavirus Attachment Factors to Enhance Disinfection by a Selective Photocatalytic ?Trap-and-Zap? Approach	Engineering - The virus that causes COVID-19 (i.e., SARS-CoV-2) has been found in air ducts, suggesting that it could spread around buildings via air conditioning systems. SARS-CoV-2 is also shed in stool despite patients testing negative, and thus it may reach wastewater treatment plants, where it could survive for days and be aerosolized or discharged in the effluent. In fact, there are reports that SARS-CoV-2 may spread through bathroom pipes. Although coronaviruses can be inactivated by some conventional water treatment processes, there is an urgent need for more precise viral disinfection approaches that are fast, efficient and reliable under realistic scenarios. The objective of this project is to develop a novel approach for selective adsorption and photocatalytic disinfection (i.e., trap-and-zap) of SARS-CoV-2 and other pathogenic coronaviruses. This would result in a chemical-free technology (thus avoiding harmful disinfection byproducts) with unprecedented precision and reliable efficiency to inactivate coronavirus. The driving hypothesis is that molecular imprinting of graphitic carbon nitride with common coronavirus attachment factors will enable selective virus adsorption near reactive sites, resulting in reliably high disinfection. Whereas enhancing the capacity and resiliency of wastewater disinfection and hospital air sterilization systems to protect public health against emerging infectious diseases has significant intrinsic merit, the benefits of this project are much broader. This project will enhance surface recognition of various types of coronavirus (e.g., those causing COVID-19, MERS and SARS), which will inform efforts to concentrate them and improve both precision separation (e.g., by superior sorbents) and detection limits of sensors that can be used in diagnostics and surveillance efforts. Project results will be integrated into various courses, including the NanoEnvironmental Engineering for Teachers (NEET) course at Rice, which enrolls 15 teachers that reach over 3,300 high school students annually. This course recently expanded to Arizona State University and is also being expanded to the University of Texas at El Paso, thereby ensuring wide dissemination of this ?trap-and-zap? approach to STEM teachers.<br/><br/>This project builds on a recently published, nanotechnology-enabled ?trap-and-zap? approach (enhanced by molecular imprinting), to selectively adsorb antibiotic resistant genes and concentrate them near photocatalytic sites for efficient degradation (doi.org/10.1021/acs.est.9b06926). This approach will be modified to target SARS-CoV-2 and other coronavirus by imprinting molecules involved in virus attachment such as sialic acids, heparin sulfate proteoglycan, and angiotensin-converting enzyme?related carboxypeptidase (ACE2)-associated peptides onto the graphitic carbon nitride photocatalysts. When the imprinted molecule is removed (e.g., by acid washing), it leaves behind a target-specific cavity that enables selective adsorption and photocatalytic inactivation with minimum interference by background water constituents. Low pathogenic coronavirus HCoV-NL63 (which, similarly to SARS-CoV 2, is enveloped with an S spike protein and uses the same cell surface molecule ACE2 as host receptor) will be used to assess adsorption kinetics and selectivity of molecularly imprinted-gC3N4 in the presence of competing proteins (such as bovine serum albumin) and bacteriophage MS2. Inactivation efficiency will be assessed by quantifying residual viable virus concentrations, using the plaque assay with Avicel overlay. Specific tasks include to (1) select a model coronavirus (e.g., HCoV-NL63) and attachment factors for molecular imprinting; (2) prepare homogenous, stable, biomolecular materials for imprinting; (3) synthesize the molecularly-imprinted catalyst; (4) characterize adsorption kinetics and selectivity of target coronavirus particles to the molecularly-imprinted catalyst; (5) benchmark virus inactivation efficiency of the molecularly imprinted -coated catalyst against traditional disinfection methods (chlorination, ultraviolet irradiation) under realistic conditions; and (6) assess durability and reuse potential of the molecularly imprinted catalyst Project results will be integrated into various courses, including the NanoEnvironmental Engineering for Teachers (NEET) course at Rice, which enrolls 15 teachers that reach over 3,300 high school students annually. This course recently expanded to Arizona State University and is also being expanded to the University of Texas at El Paso, thereby ensuring wide dissemination of this ?trap-and-zap? approach to STEM teachers.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	187858.0	USD
404	Raphael Isokpehi	Bethune-Cookman University	None	2020-05-15	2021-04-30	RAPID: Educational Interventions for Undergraduate Students and Informal Learners for Robust Learning of COVID-19 Knowledge	Education and Human Resources - The Historically Black Colleges and Universities - Undergraduate Program (HBCU-UP) supports RAPID projects when there is a severe urgency with regard to availability of, or access to, data, facilities or specialized equipment, including quick-response research on natural or anthropogenic disasters and similar unanticipated events, such as the COVID-19 pandemic. The project at Bethune Cookman University seeks to investigate the effects of two educational interventions on the robust learning measures of long-term retention or desire for future learning of COVID-19 knowledge. It will produce designers of effective, efficient, and engaging distance learning while equipping undergraduate students and informal learners with relevant skills and competencies to contribute transdisciplinary solutions to the current COVID-19 and future disease outbreaks. Undergraduate students are involved as researchers in this project.<br/><br/>The goal of the project is to understand how to optimize the successful learning of knowledge content types such as procedures for data associated problem solving activities, especially in the circumstances of mandatory remote education. The abundance of data resources resulting from the COVID-19 pandemic presents unique conditions suitable to design and develop educational technology interventions for learning procedures to solve data challenges in areas of data flow, data curation, and data analytics. The research is guided by the Knowledge-Learning-Instruction theoretical framework for producing robust student learning. Two online educational technology interventions will be developed and investigated among cohorts of designers of learning experiences on generating knowledge from complex data resources on COVID-19 pandemic, and among informal learners of the genomics and environmental survival of coronaviruses. An ?in vivo? experimentation approach will be implemented that combines causal principles and real online instructional events with or without an ecological control group. The transactions and artifacts of learning events will be analyzed to detect features that predict robust learning and the performance of complex cognitive activities. Post-educational intervention assessments will capture academic and professional success measures including satisfaction with the learning process, self-confidence to work effectively with complex datasets, desire to pursue data careers, and involvement in developing data-driven solutions to COVID-19 pandemic. <br/><br/>This RAPID award is made by the Historically Black Colleges and Universities - Undergraduate Program in the Division of Human Resource Development, Directorate of Education and Human Resources, using funds from the Coronavirus Aid, Relief, and Economic Security (CARES) Act.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	200000.0	USD
405	John Bischof	University of Minnesota-Twin Cities	None	2020-05-01	2021-04-30	RAPID: Development of an ultrasensitive thermal contrast amplification lateral flow immunoassay for rapid, point-of-care COVID-19 diagnosis	Engineering - Innovative and unique thermal contrast technology will be used to detect heat from laser irradiated gold nanoparticles to vastly improve the sensitivity of rapid diagnostics tests (i.e. lateral flow assays) designed to detect and diagnose COVID-19. This technology, which has been used to significantly improve lateral flow assays for HIV, malaria, Strep and influenza, will enable widespread, inexpensive (< $1/test), rapid (? 10 minutes), point-of-care detection of COVID-19. Such detection does not exist and cannot exist using the current methodologies for detecting both early (i.e. viral protein) and late (i.e. antibody) stages of COVID-19 infection. These new, thermal contrast lateral flow assays, along with new thermal contrast ?reading? technology, will accelerate effective and targeted testing and surveillance of disease spread and management and bring enormous benefits to both national and global society. While first deployment will be in clinical settings, it is envisioned that this technology can eventually be used at schools, airports, sporting and entertainment events and even at home to assess the infection and spread of COVID-19 and other infectious diseases.<br/><br/>The proposed research will develop new lateral flow assays to be used with innovative thermal contrast technology for highly sensitive, inexpensive, point-of-care detection of COVID-19. This new paradigm will, in the long term, be applied to a wide variety of diseases. Lateral flow assays are arguably the cheapest, fastest and easiest to use rapid diagnostic assays in the world. While they are used qualitatively for numerous diseases, they have weaknesses that include lack of sensitivity and quantification of disease burden. Both of these issues are addressed through our novel Thermal Contrast Assay technology. To address this specifically for COVID-19, two approaches are proposed: 1) optimizing gold nanoparticles and lateral flow assays for binding either COVID-19 protein or COVID-19 antibody analytes, and 2) the use of a new quantitative figure of merit called the ?Binding Ratio? to rapidly identify reagents and components for optimized thermal contrast lateral flow assays. This project is part of a larger effort with industry partners to scale up the manufacturing of a proprietary thermal contrast reader so that it will be affordable for point-of-care clinical settings such as doctors? offices, urgent care settings, emergency rooms, and field hospitals.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	200000.0	USD
406	Qingfang Wang	University of California-Riverside	None	2020-06-01	2021-05-31	RAPID: How Do Small Businesses Cope with the Impacts of COVID-19? From A Community Perspective	Engineering - This Rapid Response Research (RAPID) project examines the impacts of COVID-19 on small businesses, and how they and their communities react to and cope with associated challenges. Small businesses currently account for 99.9 percent of US firms and employ 47.5 percent of all US workers. Yet, small businesses are more likely to be economically vulnerable, be under-insured, and less likely to have contingency plans. In particular, small businesses in underrepresented communities and peripheral areas face formidable barriers and challenges in preparing for and responding to emergencies and social or natural disasters. This study?s interdisciplinary approach and analytical results will help public policy address disparity and inequality issues, in particular the opportunities and challenges facing small business owners. In addition, it unpacks one facet of community recovery ? the importance of businesses? ability to continue operating and employing people. Therefore, the study will enhance knowledge about how empowering local businesses, increasing diverse employment opportunities, and enhancing private sector enterprises' adaptive capacity contribute to broader community-level resilience.<br/><br/>This project examines small business vulnerability and resilience through small businesses? responses to COVID-19 and their adaptation practices within communities, drawing upon data gathered from business surveys and in-depth interviews. It also explores different approaches to risk mitigation and business preparedness intended to enhance their future resilience. This study goes beyond the traditional lens of physical and financial resources, emphasizing the strength of community-based networks in helping small businesses promptly respond to disasters, and how these networks influence the links between economic and social, and between individual and community resilience. It examines a broad spectrum of businesses under the impacts of social and public health crisis, and particularly highlights the role of social inequalities, unemployment, and low income as a critical source of vulnerability and lack of resilience.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	53196.0	USD
407	Byron Erath	Clarkson University	None	2020-05-01	2021-04-30	RAPID: Speech as a modality for airborne transport of virus-laden droplets in the COVID-19 pandemic	Engineering - This RAPID project will advance the understanding of how infectious diseases are spread from speaking, which is directly relevant to informing decisions regarding social distancing measures in the current COVID-19 pandemic. During regular conversation, small virus-laden droplets are generated in the respiratory and vocal tract. They are then expelled into the surrounding environment as airflow exits the mouth. Larger droplets may impact surfaces in the immediate vicinity, while smaller ones may stay suspended in the air as aerosols for long periods of time. Both types of expiratory droplets pose an infection risk. Larger droplets may land directly on individuals that are in close proximity, while smaller aerosolized particles are capable of traveling longer distances and infecting people much farther away by being inhaled into the respiratory tract. Currently, the range of distances that particles travel when produced by speech, and the resulting infection risk posed to individuals in the immediate (near field) and more distant (far field) vicinity, is not well understood. The potential for increased infection risk due to prolonged speech in indoor environments, where airborne particles may accumulate over time and reach higher concentrations, is also not known. This research proposal aims to answer these questions by performing physical measurements of speech in tandem with numerical modeling of droplet transport to predict infection risks in both the near and far field of an infected speaker.<br/><br/>The goal of this project is to determine how virus-laden droplets are spread during speech. Particular emphasis is placed on investigating specific vocal intonations that produce high velocity bursts of air at the mouth (i.e., fricatives and plosives), which are hypothesized to propel particles over relatively long distances and increase infection risk in both the near and far field. Experimental velocity field measurements of the human mouth jet will be acquired using particle image velocimetry for sustained vowels, fricatives, and plosives, at varying levels of loudness. Separately, aerodynamic particle size spectrometry will measure the droplet size distributions generated by these same utterances. These data will be used to validate and inform an unsteady Reynolds-averaged Navier-Stokes computational fluid dynamics model that adopts an Eulerian-Lagrangian approach to model and quantify droplet dynamics. Coupling the expiratory velocity fields and particle dynamics for specific speech utterances will facilitate predicting the infection risk arising from voiced speech by using viral titer levels and infectious doses for the SARS-CoV-2 virus. Near and far field infection risks will be quantified for both open and confined surroundings, where the competing times scales associated with ventilation, particle settling, and virus inactivation rates, will influence the steady-state particle accumulation. Mitigation strategies to decrease infection risk in indoor environments will also be explored.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	199369.0	USD
408	Shahin Vassigh	Florida International University	None	2020-06-01	2021-05-31	RAPID: A Platform for Mitigating the Impacts of COVID-19 on the Healthcare System	Office of the Director - This COVID-19 RAPID research program will focus on addressing the shortage of essential medical supplies, Personal Protective Equipment, and crucial medical technologies. A surge in demand for specialized healthcare has also created a shortage of skilled medical professionals capable of operating highly technical machines while protecting themselves and others against this dangerous virus. Thus, providing rapid training for caregivers and increasing the supply of Personal Protective Equipment and medical technology is an immediate priority for combating this unprecedented pandemic. This project will leverage the research and technology currently under development in a National Science Foundation Convergence Accelerator project to provide an easy to use and access training application for caregivers, as well as networking capacity for problem-solving among stakeholders. This project will also build and foster partnerships among the healthcare community, medical equipment manufacturers and distributors, and grassroots efforts to rapidly deploy prototypes as it strives to create awareness of the project and its novel features.<br/><br/>The specific goals of this project are to provide training support, problem-solving resources, and professional networking for idea exchanges for healthcare professionals, caregivers, and technologists that are on the frontlines in the fight against COVID-19. Artificial Intelligence techniques such as deep learning and self-adaptive autonomous systems will be used to develop an intelligent knowledge network to support virtual communities, as well as, create Augmented Reality technologies for delivering efficient and engaging virtual training. Thus, the research objectives of this project include: 1) development of an Augmented Reality training mobile application for caregivers and technologists responding to the COVID-19 pandemic; 2) deployment of an online repository for equipment problem-solving resources; and 3) development of a professional networking application to disseminate research and best practices in the fight against COVID-19 for all stakeholders engaged in addressing the pandemic. The project's overarching focus is to create a web application with mobile Augmented Reality capability for training healthcare professionals at any location and time, in order to improve access to training with the medical equipment and increase the efficiency and reach of safety training. The project team will advance the knowledge base in computer science and spatial computing as it creates its Artificial Intelligence-powered Augmented Reality training. The team will disseminate its findings and technology through relevant scholarly conferences and journals.<br/><br/>This RAPID award is made by the Convergence Accelerator program in the Office of Integrative Activities using funds from the Coronavirus Aid, Relief, and Economic Security (CARES) Act, and is associated with the Convergence Accelerator Track B: Artificial Intelligence and Future Jobs and National Talent Ecosystem.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	159300.0	USD
409	Barbara Means	Digital Promise Global	None	2020-05-15	2020-12-31	RAPID: Addressing Equity when STEM Teaching and Learning Go Remote	Education and Human Resources - A systemic and persistent digital divide exists between students with limited resources and students with more resources. This project will investigate the challenges students face with the unexpected migration of their STEM courses to online environments due to COVID-19. Prior research on online learning suggests that students with limited financial means and fewer academic experiences are at a disadvantage when learning in online educational environments. To better understand student experiences and consequences of teaching and learning in digital environments, the project will address four questions: How do students? experiences in gateway STEM courses compare pre- and post the shift to online learning? Which challenges to learning STEM online are more prevalent among low-income, underrepresented minority, and rural students compared to other students? What online instructional practices do students perceive as contributing to their engagement and learning? To what extent do different types of digital learning experiences or other variables mitigate the challenges associated with the COVID-19-induced transition to remote STEM learning? <br/><br/>The mixed method research study will: (a) survey a nationally representative sample of 1,000 undergraduate students from two- and four-year colleges who are taking STEM courses that transitioned to remote delivery in spring 2020; and (2) conduct case studies to examine pre- and post-COVID-19 student and faculty experiences in gateway STEM courses at institutions serving underserved student populations. The research team will prepare response distributions and descriptive statistics for each item for the Student Survey and for key subgroups. Additionally, exploratory correlational analyses will be conducted to understand relationships between variables. To assess subgroups or before-and-after differences on items and item scales, ANOVAs, t-tests, and Chi-square tests will be used. Multivariate regression analyses will explore potential causal relationships among the data. Thematic analyses of student and faculty interviews and student focus groups will be conducted using a priori codes derived from the literature and topics of interest, as well as thematic codes that emerge from the data using an inductive approach. A hierarchy of themes will be created to facilitate analyses that disaggregate themes and trends for key subgroups. Results from this research will provide information to the higher education community and policy makers that can inform plans to address the current crisis, as well as how to incorporate lessons learned in STEM education post-COVID-19. This RAPID award is made by the Improving Undergraduate STEM Education program in the Division of Undergraduate Education (Education and Human Resources Directorate), using funds from the Coronavirus Aid, Relief, and Economic Security (CARES) Act.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	199997.0	USD
410	Yuanxiong Guo	University of Texas at San Antonio	None	2020-05-01	2021-04-30	RAPID: Collaborative: Location Privacy Preserving COVID-19 Symptom Map Construction via Mobile Crowdsourcing for Proactive Constrained Resource Allocation	Computer and Information Science and Engineering - The recent pandemic of COVID-19 has caused a public health crisis to US and many other countries in the world. Since there is currently no medication to treat COVID-19, the most challenging question is how to effectively allocate constrained healthcare resources to the next potential outburst communities or areas, so that we can halt or even prevent the virus' further spreading. The current reactive efforts of relying on people to visit their doctors or testing stations for collecting infection data may not work in an efficient and timely manner due to the limited coverage, high cost, and increased exposure risk for people to be congested at those places. This project develops a fine-grained and location privacy-preserving COVID19 symptom map (CSM) via mobile crowdsourcing, where the symptoms may include fever, cough, or shortness of breath. The proposed CSM is promising in its ability to identify the potential outbreak areas and facilitate the proactive and dynamic allocation of healthcare resources. Meanwhile, the location privacy preserving feature will protect the mobile crowdsourcing participants from bias or discrimination, encouraging them to participate for the public good. The project involves synergized efforts from mobile crowdsourcing, public health science, data analytics, privacy, and social science. Education and outreach activities are designed to increase the participation of women and minority in science and engineering. <br/><br/>This project develops an interdisciplinary framework for location privacy preservation, mobile crowdsourcing, data analytics, social science, and public health science, and contains a research plan with four interconnected thrusts. First, a novel location differential privacy preservation mechanism named differentially private hexagonal hierarchical geospatial indexing system (DPH3) will be developed, which can well represent physical community structure in the map, guarantee mobile crowdsourcing participants? location differential privacy, and provide high mobile crowdsourcing utility for CSM construction in terms of map coverage and accuracy. Second, a coverage-aware crowdsourcing participant recruitment scheme based on DPH3 and approximation algorithm will be designed to guarantee the crowdsensing coverage while preserving participants' location differential privacy. Third, a quality-assured CSM will be constructed by using virus propagation model as the prior knowledge for detrending in ordinary kriging and robust estimation for mitigating the impact of location privacy preserving noises added by DPH3. Fourth, a strategic communication approach to community engagement from the perspective of social science will be used to motivate community members? activeness in information seeking and sharing about COVID-19 symptoms, facilitate crowdsourcing needed for the CSM, as well as empower the community members.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	100000.0	USD
411	Anastasia Angelopoulou	Columbus State University	None	2020-05-15	2021-04-30	RAPID/Collaborative Research: Quantifying Social Media Data for Improved Modeling of Mitigation Strategies for the COVID-19 Pandemic	Engineering - This Rapid Response Research (RAPID) grant will support research that will contribute new knowledge related to modeling social behavior and community activity during the COVID-19 pandemic, as well as future pandemics with COVID-19 characteristics. The model focuses on compliance with mitigation strategies and public health guidelines, thus enabling the selection of policies that are most effective in promoting both the progress of science and advancing national health and prosperity. Various pandemic models are currently being used to predict the spread of a virus and establish which mitigation strategies are the most effective. These models are heavily based on assumptions and may include an oversimplified reality of how populations react and behave. This research will provide needed knowledge and methods for the development of a model of how individuals in the U.S. react to certain mitigation strategies, such as social-distancing, stay-at-home orders, quarantines, and travel advisories, by mining and analyzing social media data during the COVID-19 crisis. This enhanced modeling approach and its resultant model will be of great value to disaster response managers and policy/decision makers to understand human social behavior. This work allows assessment of the effectiveness of mitigation strategies and public health guidelines during pandemics (and other crises). This project will also form the basis of a publicly available case study suitable for university level students that can be widely incorporated in courses. <br/><br/>Although individual-based and homogeneous mixing pandemic models provide useful insights and predictive capabilities within a range of possibilities, they are highly sensitive to people?s actions. This research aims to provide an enhanced approach to model social behavior and community activity during a pandemic in terms of compliance with mitigation strategies and public health guidelines. Social media data present a brief window of opportunity for research on how, and to what extent, the public does or does not comply with the recommended mitigation strategies and public health guidelines. The research team will collect real-time data from social media related to COVID19-exposed regional populations in the U.S. The data will be analyzed using machine learning techniques to identify non-mutually exclusive clusters of people based on similarity of their demographic, geographic, and time information, and establish relationships among clusters. The analyzed data will form the basis of a data-driven multi-paradigm simulation model that captures changes in public sentiment over time, quantifies the resistance/compliance with mitigation strategies and health guidelines, and gauges overall effectiveness of various mitigation strategies and advice over time.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	13406.0	USD
412	Kristin Horan	The University of Central Florida Board of Trustees	None	2020-05-15	2021-04-30	RAPID: Collaborative Proposal: Effects of Institutional Responses to the COVID-19 Pandemic on Undergraduate Faculty and Students Across STEM Disciplines	Education and Human Resources - The novel coronavirus disease 2019 (COVID-19) pandemic has resulted in unprecedented, nation-wide disruption of academic institutions. As a result, there is an urgent need to understand the acute effects of this disruption on undergraduate STEM education in the U.S. This project will examine experiences of faculty and students resulting from the COVID-19 pandemic and subsequent institutional changes. Initiated during a time of uncertainty, this project will: (1) capture the ephemeral nature of undergraduate education experiences before national recovery milestones are achieved; and (2) inform efforts to adapt undergraduate STEM education during crises. The project team will collect data about institutional characteristics and crisis communication messages, as well as about experiences of individual faculty and students. These data will be analyzed to identify pathways through which the COVID-19 pandemic has influenced teaching and learning within undergraduate STEM education. The findings of this project will be used to develop actionable recommendations for institutions of higher education, including crisis communication strategies, guidelines for pedagogy in times of crisis, and checklists of resources. As the STEM workforce plays a critical role in the economic health of the U.S. in normal and disaster situations, this effort to rapidly collect data and learn from this situation will contribute to the security and well-being of society. It is expected that the results will also support a more resilient, globally competitive next generation of STEM workers. <br/><br/>The project?s specific aims are to: (1) examine teaching and learning experiences of undergraduate faculty and students in response to the COVID-19 pandemic; (2) examine the effects of faculty and student reactions on undergraduate STEM teaching and learning; and (3) leverage findings to develop actionable recommendations for colleges and universities to best prepare and protect their faculty, staff, and students and the integrity of undergraduate STEM education. The goal of these activities is to answer key research questions: How do institutions? COVID-19 policies influence faculty and student attitudes, perceptions, and behavior related to STEM teaching and learning? What teaching and learning resources were most important for undergraduate STEM faculty and students? How do these effects on undergraduate STEM education develop over time? Given the rapidly changing nature of the situation, individual-level data that are needed to answer the research questions are inherently ephemeral. Faculty and students are unlikely to accurately later recall the extent to which they were able to adapt to changes, the extent to which changes created distress, and how they coped with events. Using the Integrated Postsecondary Education Data System, faculty and students from a stratified random sample of representative institutions will be recruited to participate in an online survey and semi-structured interviews conducted across three time points. Grounded in the research literatures of crisis communication, organizational science, and disaster management, this project addresses gaps in undergraduate STEM education research related to faculty and student reactions to disruptive contexts, characteristics of institutions that make them resilient toward disruptive contexts, and institutional learning from disruptive contexts. The findings will be disseminated to institutions of higher education and through a public web site relating to the resources most critical for fostering resilience among faculty and staff when adapting to a disrupted educational context. In addition, participating institutions and individuals will receive customized reports and resources. By evaluating the immediate impact of COVID-19, this project aims to enhance the undergraduate education infrastructure, improve the delivery of STEM education during and after disruptions, and help to protect the well-being of faculty and students collectively experiencing this crisis. This RAPID award is made by the Improving Undergraduate STEM Education program in the Division of Undergraduate Education (Education and Human Resources Directorate), using funds from the Coronavirus Aid, Relief, and Economic Security (CARES) Act.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	113316.0	USD
413	Matthew Baum	Harvard University	None	2020-05-15	2021-04-30	RAPID: Collaborative Research: Relationships, social distancing, social media and the spread of COVID-19	Social, Behavioral and Economic Sciences - This project seeks to improve the national response to the COVID-19 pandemic by launching large-scale data collection through a rolling national survey linked to individual social media data. We generate information useful to policymakers and local authorities and offer near-real-time state-by-state disease tracking. Our data allow officials to understand where the virus is currently spreading, facilitating improved allocation of resources. We also evaluate the networked nature of the disease, tracking its flow based on the reported social relationships of the survey participants and their social distancing behaviors. The project captures how well the information and communication needs of Americans are met during this crisis, observes patterns of citizen compliance with government recommendations, stay-at-home orders, and enforced lockdowns, and assesses their impact on suppressing the spread of the virus among diverse populations.<br/><br/>The project has two core objectives: (1) producing information that will be immediately useful in improving the national response to COVID-19; and (2) using COVID-19 data to understand how people adapt to and make sense of a national crisis that has important and immediate ramifications for their daily lives. We rely on a large-scale, rolling national survey that is conducted on a daily basis, with approximately 3000 respondents per day. We also link the survey data to the social media behavior of respondents. The large sample sizes collected daily offers near-real-time state-by-state disease tracking, as well as the ability to observe key differences in responses to policies across demographic groups. The design will capture how people use technology to work, get informed, and stay connected, and respondents? financial difficulties, employment experiences, and parenting and educational challenges in response to the pandemic.<br/><br/>This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.	National Science Foundation	Research Grant	100000.0	USD
